fold,model,RMSE,MAE,R2
1,persistence,11.549854440690439,7.466481106790278,0.4764235329266453
1,global_xgb,13.40211599574938,8.071325632931314,0.29502479703674356
1,per_regime_xgb,13.393546764814289,8.076168218539806,0.295926022485014
2,persistence,6.877768712310774,4.820103048123407,0.14274039494706126
2,global_xgb,5.691296479570043,3.7657193021814637,0.4129979124111157
2,per_regime_xgb,5.701853291014531,3.6960587971068586,0.41081822710397564
3,persistence,6.537591825289879,4.454830388934801,-0.003251999929362759
3,global_xgb,5.853222527117897,4.471802463674408,0.19579919941324908
3,per_regime_xgb,5.818232719155957,4.369126889078733,0.20538527829398423
4,persistence,13.953503703906224,8.254920291343064,-0.09833923043812365
4,global_xgb,12.941531325353457,7.422642629413321,0.05519694740494263
4,per_regime_xgb,13.713141907627904,8.171534813341614,-0.06082535776081577
5,persistence,7.9183221548980285,4.822128666238573,-0.19995771600179135
5,global_xgb,7.33150410206098,4.914719315888645,-0.028692971676342882
5,per_regime_xgb,6.824256801453413,4.621065470302079,0.1087278598122069
