,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,calmar
buy_hold,12.26330472448308,19.845587678850613,0.6179360834727031,-54.76447771361198,0.22392808689993177
voltarget_persistence,10.26536768134798,13.390968106186344,0.7665889127616993,-28.733462739639393,0.35726176738128884
voltarget_model,10.20860784533228,13.181022115593285,0.7744928849831297,-41.51472070008182,0.24590332472867052
