fold,empirical_coverage,mean_width_vol,kind,nominal,empirical
1.0,0.8644610458911419,26.000533305873205,fold,,
2.0,0.9188900747065102,18.07346505681805,fold,,
3.0,0.8271077908217717,13.560349895097826,fold,,
4.0,0.8911419423692636,32.51199618460567,fold,,
5.0,0.967982924226254,27.378414569427896,fold,,
,,,calibration,0.5,0.4631803628601921
,,,calibration,0.7,0.6819637139807898
,,,calibration,0.8,0.7950907150480256
,,,calibration,0.9,0.8939167556029882
,,,calibration,0.95,0.9351120597652081
